법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
오산동,964,동탄역 신미주,84.896,2020,1,30,"38,000",2005
반송동,140,솔빛마을서해그랑블,121.55,2020,1,31,"66,000",2007
능동,1282,서동탄역파크자이,100.5303,2020,1,28,"50,000",2018
영천동,716,동탄역반도유보라아이비파크2.0,84.9921,2020,1,22,"50,000",2016
병점동,820,안화동마을주공5단지,75.79,2020,1,15,"20,000",2004
병점동,858,정든마을신창2차,101.983,2020,1,21,"27,500",2004
반송동,100,시범다은마을삼성래미안,84.6098,2020,1,24,"56,000",2007
반송동,132,솔빛마을경남아너스빌,103.3947,2020,1,3,"55,000",2007
능동,1131,자연앤데시앙,74.6,2020,1,14,"28,200",2008
반송동,102,시범다은마을포스코더샵,84.5111,2020,1,17,"49,000",2007
반송동,212,나루마을월드메르디앙반도유보라,101.9599,2020,1,30,"43,700",2007
병점동,201-2,신미주,59.94,2020,1,23,"15,200",1999
기산동,476,에스케이뷰파크2차,84.9675,2020,1,22,"46,000",2017
기산동,476,에스케이뷰파크2차,84.9815,2020,1,4,"44,500",2017
청계동,538,동탄역센트럴푸르지오,59.3401,2020,1,18,"42,000",2015
청계동,545,동탄역신안인스빌리베라1차,84.9814,2020,1,12,"56,000",2015
능동,1132,동탄숲속마을 모아미래도1단지,84.13,2020,1,30,"34,500",2008
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,110.1671,2020,1,2,"32,000",2008
반송동,141,동탄센트럴포레스트,74.73,2020,1,6,"29,500",2009
반송동,141,동탄센트럴포레스트,74.66,2020,1,5,"31,800",2009
봉담읍 와우리,597,봉담센트럴푸르지오,74.8151,2020,1,21,"31,000",2017
반월동,883,반달마을두산위브2단지,103.472,2020,1,15,"31,500",2007
안녕동,49-6,남수원현대,59.98,2020,1,30,"13,500",1997
병점동,819,안화동마을주공9단지,84.88,2020,1,20,"24,500",2005
병점동,819,안화동마을주공9단지,75.79,2020,1,15,"22,800",2005
병점동,359,대창,59.83,2020,1,29,"17,300",1997
기안동,925,파인팰리스,84.9967,2020,1,29,"19,000",2009
병점동,821,느치미마을주공뜨란채3단지,84.91,2020,1,23,"25,400",2004
반송동,83,시범한빛마을삼부르네상스,84.691,2020,1,30,"54,500",2007
능동,1041,서동탄역우남퍼스트빌아파트,84.2119,2020,1,1,"20,350",2003
병점동,821,느치미마을주공뜨란채3단지,84.91,2020,1,8,"24,000",2004
석우동,53,우미린제일풍경채,80.3931,2020,1,23,"37,000",2008
